domainname,Registrant_pri_email,Registrant_adminemail,Registrant_billingemail,Registrant_techemail
aia.sch.qa,a.alsabah@aia.qa,a.alsabah@aia.qa,a.alsabah@aia.qa,a.alsabah@aia.qa
aec-g.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
aec-b.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abubakerasdeeq.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abm.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abj.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abjfunoon.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abjassim.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abihaneefa.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abiayyoob.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abhschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abdullahbinzaid.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abat.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abamesnad.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abjfunoon.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abjassim.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abihaneefa.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abiayyoob.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abhschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abdullahbinzaid.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abat.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
abamesnad.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
